open_us,write_us,read_us,close_us
557,22,10,34
546,22,8,32
560,22,9,44
457,13,7,24
466,25,9,45
535,20,8,37
532,21,9,36
530,22,9,39
482,21,9,39
563,23,9,41
504,29,9,42
451,23,9,40
551,28,8,37
472,21,10,36
472,22,9,40
477,21,9,44
583,16,7,25
463,42,10,43
538,22,9,34
468,23,9,34
493,25,9,48
539,17,7,28
464,28,9,48
532,13,7,24
464,23,9,42
464,24,9,40
541,21,9,35
512,18,8,47
542,27,9,36
467,19,13,31
423,15,6,24
478,24,10,38
403,25,7,25
405,11,5,22
440,26,10,40
555,21,9,35
472,22,14,53
524,21,8,35
538,22,9,32
544,16,7,54
450,25,9,35
479,22,10,45
545,22,14,32
462,13,6,24
465,31,10,41
549,22,9,35
432,16,7,25
453,28,11,45
648,23,9,36
455,17,11,27
471,25,9,47
558,12,6,22
474,25,9,43
542,22,9,35
546,21,8,33
524,23,9,39
453,38,11,35
481,21,9,38
402,17,7,26
429,12,6,23
466,26,14,40
549,21,9,35
468,13,5,23
561,30,10,53
527,22,9,31
543,22,9,33
519,22,9,42
440,21,8,37
568,22,9,37
462,26,10,34
543,21,9,36
507,15,7,26
431,32,8,39
504,26,8,37
470,14,6,23
449,43,12,37
566,20,10,30
475,23,9,35
545,23,9,36
462,22,10,46
538,21,13,35
581,22,10,36
493,22,9,31
431,13,6,27
454,12,6,22
459,27,10,89
474,13,6,23
464,11,5,21
459,11,5,35
427,11,5,21
446,28,10,39
434,23,9,35
530,16,7,26
451,12,5,21
408,26,9,38
433,86,9,43
563,17,6,25
429,30,9,37
454,14,6,23
417,25,8,35
432,14,6,23
409,17,8,24
471,15,7,24
451,15,6,24
555,23,11,48
581,22,9,37
545,35,9,39
517,17,9,26
504,21,10,40
441,14,6,25
466,27,10,51
586,13,6,35
537,25,9,42
537,22,8,33
519,36,9,38
456,21,8,28
480,23,10,39
558,23,9,37
553,25,9,32
571,17,7,45
