Run,Open,Write,Read,Close
692,220.300,133.900,16.100,183.600
693,201.600,213.800,18.200,203.000
694,211.900,271.100,19.900,214.500
695,240.300,128.300,15.300,234.700
696,247.200,126.200,15.200,177.300
697,194.800,118.000,14.300,173.200
698,549.400,193.200,19.500,374.300
699,256.700,147.500,16.900,205.600
700,279.100,150.200,100.200,211.800
701,259.200,317.100,29.800,338.600
702,411.900,156.900,22.400,198.300
703,208.700,208.200,18.400,206.900
704,277.400,141.200,15.700,286.900
705,202.800,114.500,13.100,177.800
706,174.000,353.100,27.200,507.400
707,369.900,153.000,16.800,215.400
708,279.000,141.500,16.500,276.900
709,263.300,252.700,17.200,194.000
710,198.800,111.100,13.300,653.500
711,204.100,194.100,16.400,189.900
712,187.700,129.700,13.800,224.300
713,226.600,165.700,15.300,269.600
714,182.500,90.800,9.100,176.300
715,111.100,51.800,5.300,85.500
716,296.600,166.400,17.800,264.400
717,269.700,124.800,14.900,407.800
718,303.400,231.100,21.100,213.900
719,233.200,142.900,15.300,175.300
720,226.800,124.600,16.500,179.400
721,303.400,132.800,18.800,197.300
722,195.300,110.900,12.600,176.800
723,177.600,109.100,16.000,169.300
724,211.200,182.300,15.100,189.100
725,219.800,124.900,14.700,291.200
726,357.600,158.800,22.900,283.000
727,244.600,121.900,15.200,176.200
728,188.100,119.200,14.400,216.700
729,406.800,181.900,18.800,223.900
730,255.100,191.200,16.800,201.400
731,316.200,139.000,15.600,328.300
732,281.200,159.600,157.400,313.200
733,292.700,148.700,15.800,323.400
734,245.500,133.300,62.800,525.200
735,579.700,724.600,27.100,524.900
736,336.200,160.300,19.600,441.600
737,305.400,148.100,16.600,317.300
738,241.500,131.500,16.000,195.800
739,215.600,123.200,14.000,191.600
740,267.600,127.600,15.300,357.000
741,609.900,326.900,20.400,698.500
742,282.800,150.700,17.600,455.800
743,309.900,193.400,15.800,334.000
744,200.300,95.300,10.200,144.600
745,434.000,427.600,71.300,453.700
746,324.100,335.400,26.000,275.000
747,388.000,238.600,23.500,804.400
748,273.500,192.500,12.000,319.300
749,293.400,176.500,21.900,430.600
750,439.100,170.400,18.300,378.500
751,278.700,177.100,20.300,269.500
752,257.300,139.100,17.300,265.700
753,523.800,178.300,19.000,409.800
754,277.800,162.700,18.900,290.300
755,280.000,222.200,19.400,314.800
756,371.500,149.000,19.500,337.000
757,338.600,170.500,16.600,261.600
758,295.400,208.400,19.700,348.900
759,263.800,132.700,16.600,196.100
760,213.200,122.800,14.400,428.500
761,304.400,161.900,18.900,274.700
762,438.300,219.900,27.900,301.400
763,281.000,136.500,17.000,254.700
764,226.700,122.200,12.700,150.700
765,308.400,206.100,11.800,146.000
766,139.400,83.600,7.200,93.100
767,96.400,48.500,4.200,79.000
768,75.900,45.200,4.600,70.200
769,61.800,40.600,4.300,247.100
770,270.500,185.800,19.600,203.000
771,242.100,144.600,17.200,334.700
